nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
Diego Torres,natacion,44.0,93.6,197.0,70.27473684210527,23.7,4.14,defensa
Catalina Mora,voleibol,29.0,73.7,183.0,55.0,24.0,9.76,DELANTERO
Isabella Castro,tenis,37.0,68.1,187.0,76.0,12.8,6.75,Defensa
Luis Parra,natacion,35.0,99.3,181.0,86.0,14.1,5.02,Nadador
Carolina Ríos,natacion,32.0,74.0,201.0,57.0,24.4,1.76,DEFENSA
Andrés Flores,atletismo,27.0,86.8,192.0,60.0,22.2,2.88,DELANTERO
Patricio Bravo,tenis,26.0,94.9,175.0,57.0,13.7,5.42,ATACANTE
Marcela Varela,tenis,38.0,104.0,174.0,88.0,17.9,6.59,PORTERO
Fernanda Jiménez,voleibol,36.0,89.9,184.0,50.0,13.6,5.71,delantero
Roxana Salinas,ciclismo,26.0,98.6,184.0,52.0,13.0,1.93,corredor
María González,ciclismo,45.0,83.2,162.0,67.0,21.7,7.79,Corredor
Marcela Varela,natacion,22.0,67.4,199.0,72.0,15.5,3.93,PORTERO
Héctor Suárez,natacion,31.0,89.3,194.0,85.0,8.5,9.88,ATACANTE
Mauricio Vega,futbol,21.0,94.0,177.0,52.0,24.0,4.26,ciclista
Felipe Muñoz,baloncesto,25.0,92.7,200.0,84.0,8.6,6.75,delantero
Tomás Gutiérrez,tenis,16.0,89.7,187.0,85.0,16.8,8.81,corredor
Camila Díaz,atletismo,39.0,96.8,162.0,87.0,9.9,9.74,DEFENSA
Manuel Leal,natacion,44.0,99.8,181.0,72.0,20.4,7.85,CICLISTA
Roxana Salinas,rugby,150.0,99.9,170.0,90.0,5.4,5.552085062240665,defensa
María González,atletismo,18.0,82.6,191.0,74.0,15.1,6.33,CICLISTA
Camila Díaz,ciclismo,20.0,72.3,192.0,56.0,19.6,5.96,CICLISTA
Eduardo Soto,voleibol,27.0,99.0,183.0,60.0,6.5,1.74,ATACANTE
Felipe Muñoz,tenis,45.0,68.3,196.0,61.0,12.9,7.93,DEFENSA
Camila Díaz,futbol,21.0,99.8,174.0,10.0,3.3,1.22,defensa
Paola Romero,rugby,38.0,104.1,167.0,47.0,22.4,8.06,
Héctor Suárez,baloncesto,34.0,56.1,185.0,52.0,11.9,8.02,Defensa
Camila Díaz,natacion,35.0,97.7,173.0,80.0,24.1,2.94,Nadador
Marisol Figueroa,futbol,28.0,95.7,182.0,60.0,16.6,8.04,Mediocampista
Roxana Salinas,baloncesto,27.0,66.7,178.0,60.0,5.1,5.82,delantero
Pilar Contreras,voleibol,26.0,71.2,167.0,88.0,12.3,5.61,Mediocampista
Juan López,voleibol,33.0,89.8,192.0,87.0,7.1,6.42,DEFENSA
Manuel Leal,baloncesto,30.899791231732777,60.1,177.0,84.0,24.5,9.89,mediocampista
Camila Díaz,atletismo,35.0,104.0,194.0,72.0,20.6,9.0,Portero
Felipe Muñoz,futbol,22.0,61.1,195.0,86.0,17.7,2.33,Nadador
María González,atletismo,16.0,87.7,187.0,87.0,20.6,2.07,
Nicolás Reyes,atletismo,30.0,92.0,194.0,63.0,23.4,7.91,portero
Juan López,natacion,37.0,99.4,187.0,10.0,8.0,4.8,delantero
Catalina Mora,natacion,16.0,104.1,179.21035940803384,83.0,22.9,5.32,Delantero
Natalia Cruz,atletismo,21.0,60.2,199.0,52.0,6.6,4.35,portero
Mónica Ortega,boxeo,24.0,84.2,185.0,70.27473684210527,6.2,9.73,Mediocampista
Enrique Valenzuela,rugby,31.0,69.2,198.0,60.0,12.6,7.37,ATACANTE
Tomás Gutiérrez,rugby,26.0,71.0,173.0,70.0,7.4,1.24,Atacante
Sebastián Rojas,natacion,28.0,99.1,194.0,50.0,11.2,3.81,nadador
Alicia Campos,ciclismo,17.0,91.6,186.0,70.27473684210527,15.9,7.1,DELANTERO
Claudia Herrera,baloncesto,26.0,92.0,179.0,67.0,5.4,8.44,
Sebastián Rojas,rugby,19.0,96.9,195.0,69.0,3.6,5.552085062240665,CORREDOR
Gonzalo Fuentes,voleibol,28.0,96.5,202.0,71.0,4.1,5.44,MEDIOCAMPISTA
Daniela Vargas,ciclismo,44.0,64.3,184.0,66.0,13.2,7.98,
Ana Martínez,tenis,36.0,81.4,192.0,55.0,17.5,7.48,Atacante
Catalina Mora,atletismo,21.0,68.2,195.0,82.0,16.3,6.62,DELANTERO
Nicolás Reyes,voleibol,43.0,97.2,165.0,75.0,8.4,3.95,Ciclista
Alejandro Núñez,rugby,38.0,65.0,194.0,89.0,17.5,7.7,delantero
Daniela Vargas,atletismo,42.0,94.2,192.0,57.0,5.6,8.19,portero
Camila Díaz,baloncesto,34.0,87.1,177.0,69.0,14.6,9.91,Atacante
Daniela Vargas,natacion,39.0,59.2,162.0,87.0,6.2,8.13,Atacante
Roberto Castillo,natacion,45.0,69.4,30.0,87.0,4.9,8.1,CORREDOR
Luis Parra,natacion,20.0,55.1,198.0,66.0,24.6,1.27,CORREDOR
Alicia Campos,natacion,28.0,98.4,183.0,74.0,17.4,6.6,CICLISTA
Pedro Rodríguez,ciclismo,44.0,79.1,166.0,67.0,5.0,9.79,NADADOR
Claudia Herrera,rugby,36.0,88.2,185.0,73.0,19.7,6.54,Atacante
Verónica Aguilar,natacion,27.0,103.9,170.0,89.0,3.3,6.51,corredor
Pedro Rodríguez,natacion,32.0,92.5,194.0,54.0,10.7,7.18,defensa
César Sepúlveda,baloncesto,27.0,76.0,179.21035940803384,71.0,23.0,6.59,
Tomás Gutiérrez,futbol,39.0,58.2,186.0,47.0,17.5,9.99,
Héctor Suárez,futbol,23.0,59.4,172.0,64.0,13.2,4.49,mediocampista
Marcela Varela,voleibol,17.0,66.4,162.0,73.0,19.9,7.92,Atacante
Catalina Mora,futbol,18.0,89.8,188.0,81.0,5.1,7.05,MEDIOCAMPISTA
Ana Martínez,futbol,25.0,103.2,158.0,55.0,6.2,3.26,NADADOR
Gonzalo Fuentes,futbol,37.0,97.1,167.0,79.0,16.9,7.25,defensa
Héctor Suárez,natacion,25.0,75.4,173.0,56.0,5.4,4.74,Atacante
Catalina Mora,ciclismo,38.0,98.0,165.0,55.0,15.6,1.96,Corredor
Roxana Salinas,futbol,40.0,57.0,179.0,74.0,5.7,6.7,corredor
Gonzalo Fuentes,ciclismo,38.0,68.3,166.0,71.0,6.4,9.37,atacante
Paola Romero,tenis,26.0,74.2,199.0,70.27473684210527,11.6,4.16,ciclista
Mauricio Vega,baloncesto,36.0,74.7,195.0,64.0,3.1,8.22,Defensa
Felipe Muñoz,rugby,39.0,79.4,199.0,52.0,7.9,4.82,
Isabella Castro,ciclismo,38.0,78.3,179.21035940803384,63.0,7.7,2.09,corredor
Valentina Ramírez,voleibol,4.0,55.1,200.0,49.0,20.3,5.552085062240665,
Enrique Valenzuela,voleibol,34.0,96.9,186.0,75.0,17.9,5.31,nadador
Sofía Hernández,baloncesto,22.0,58.6,179.21035940803384,86.0,19.2,4.15,CORREDOR
Daniela Vargas,rugby,23.0,68.2,188.0,89.0,7.2,2.08,mediocampista
Ignacio Peña,baloncesto,17.0,95.8,186.0,68.0,15.4,5.552085062240665,delantero
Juan López,ciclismo,21.0,86.1,185.0,52.0,3.9,3.43,ciclista
Felipe Muñoz,natacion,28.0,102.4,192.0,90.0,24.3,8.2,Atacante
César Sepúlveda,futbol,30.0,55.2,175.0,48.0,4.4,3.86,Portero
Claudia Herrera,baloncesto,40.0,59.9,200.0,64.0,4.4,3.94,Nadador
Luis Parra,baloncesto,45.0,68.7,198.0,88.0,21.7,3.12,Ciclista
María González,futbol,35.0,55.6,193.0,81.0,6.7,2.5,Portero
Luis Parra,natacion,20.0,80.5,160.0,66.0,17.6,2.58,DELANTERO
Rodrigo Sandoval,boxeo,45.0,79.8,159.0,5.0,3.7,6.6,
Paola Romero,boxeo,17.0,59.9,200.0,79.0,6.4,4.67,Portero
Alicia Campos,rugby,22.0,84.2,166.0,59.0,17.6,7.31,
Pilar Contreras,voleibol,37.0,88.0,180.0,78.0,9.9,5.552085062240665,CORREDOR
